recall,precision,threshold
1.0,0.017820795672905843,3.834108543229581e-06
1.0,0.017865296803652966,3.8679547296378426e-06
1.0,0.017930797433547203,3.903611511933931e-06
1.0,0.01797559224694903,3.942596369581701e-06
1.0,0.018042165636303373,3.972396299407382e-06
1.0,0.018096146619258232,4.004233625746305e-06
1.0,0.018147031539888683,4.0370115983849074e-06
1.0,0.01826031153374949,4.071418521935644e-06
1.0,0.01830891170190986,4.100133294766666e-06
1.0,0.01836962263043606,4.133196613229673e-06
1.0,0.01841880719098479,4.166618575073477e-06
1.0,0.018500184706316956,4.205790956570517e-06
1.0,0.018550346707757955,4.243058978615724e-06
1.0,0.018608799048751488,4.2824543140590655e-06
1.0,0.01868796178819315,4.321910064735517e-06
1.0,0.01875711631809193,4.361354153837704e-06
1.0,0.0188228219198677,4.396981351466302e-06
1.0,0.018935269207501514,4.430262920901903e-06
1.0,0.019045590763192722,4.469988118703623e-06
1.0,0.019102546497612182,4.511171321927584e-06
1.0,0.019157791651364917,4.558626226486288e-06
1.0,0.01927488261103841,4.600054933551216e-06
1.0,0.0193335186386238,4.642874770182561e-06
1.0,0.01938710726397126,4.691749808840336e-06
1.0,0.019477286869943995,4.732525237292289e-06
1.0,0.019581163296266753,4.7744320241662375e-06
1.0,0.019644145981736593,4.8150390845651145e-06
1.0,0.019790711643640733,4.865294083836512e-06
1.0,0.019861036200387067,4.912600135980053e-06
1.0,0.01991632597871562,4.95572434286339e-06
1.0,0.02001662723028714,5.003550503141186e-06
1.0,0.020075362783612605,5.053903854273983e-06
1.0,0.020135739329023128,5.105005311560479e-06
1.0,0.02021376214924602,5.156338073175124e-06
1.0,0.020273990348803315,5.216580091784131e-06
1.0,0.02033061608911695,5.263679590912559e-06
1.0,0.020437479595168135,5.30782539828561e-06
1.0,0.020495023572551074,5.364795916329995e-06
1.0,0.020574170542126107,5.418659182713971e-06
1.0,0.020645757066059825,5.4716270033877175e-06
1.0,0.02070790605358915,5.5304564826475865e-06
1.0,0.02077249800902575,5.58588388937476e-06
1.0,0.020835066815330084,5.6394840384852845e-06
1.0,0.02091756607745514,5.696260787852747e-06
1.0,0.02097503769475624,5.753556741229954e-06
1.0,0.02103635997042812,5.821977999778551e-06
1.0,0.021103376203077857,5.890986916619991e-06
1.0,0.021167241495908568,5.954173467791733e-06
1.0,0.021282744318085235,6.009414758205042e-06
1.0,0.02136190687437083,6.064946554391314e-06
1.0,0.02143211736309636,6.1221473337305175e-06
1.0,0.021498729308331615,6.1868073205371545e-06
1.0,0.021583229899324232,6.2528452535817535e-06
1.0,0.021644422930641033,6.329736061532569e-06
1.0,0.021712739759286878,6.393124591485739e-06
1.0,0.021774670423319074,6.466588989060196e-06
1.0,0.021864794537294143,6.524673591531303e-06
1.0,0.021934127540294324,6.589827336573809e-06
1.0,0.02200042173332396,6.6740431064001615e-06
1.0,0.022106080937919343,6.748593053662124e-06
1.0,0.022179705215419503,6.816647270173432e-06
1.0,0.022249075916974694,6.899225960691183e-06
1.0,0.022331222687951485,6.983194401903475e-06
1.0,0.02240314932450568,7.06040843157103e-06
1.0,0.022472716829408386,7.133873574836027e-06
1.0,0.022540282653704204,7.22189937222458e-06
1.0,0.02265366312627789,7.310253112299461e-06
1.0,0.022759084546727017,7.392448660455799e-06
1.0,0.022840046701692936,7.464909949912062e-06
1.0,0.022940066328306797,7.552815600098749e-06
1.0,0.02305369374677764,7.632369204245792e-06
1.0,0.023144895921913707,7.715931634904611e-06
1.0,0.02322173792080126,7.803312260885514e-06
1.0,0.02330950253202264,7.899659356685258e-06
1.0,0.023399682272684796,8.000787282755934e-06
1.0,0.023485715357631918,8.097069182335955e-06
1.0,0.02360527159260167,8.197854848077075e-06
1.0,0.02370718221582625,8.28394230415259e-06
1.0,0.023786905802333093,8.36435821155147e-06
1.0,0.023867622388287327,8.462712383710972e-06
1.0,0.023963098359714434,8.559089180650275e-06
1.0,0.024057029763849123,8.663883923034353e-06
1.0,0.024146576663452265,8.766550246052722e-06
1.0,0.024232101728375945,8.866540696040625e-06
1.0,0.024313984425067485,8.971570368984459e-06
1.0,0.02441116830447668,9.101042326373095e-06
1.0,0.024503855638626844,9.201557426712936e-06
1.0,0.024591934945296694,9.325247800288464e-06
1.0,0.024680649739788677,9.457058983037615e-06
1.0,0.024770496992719215,9.55139203462442e-06
1.0,0.02485507821805765,9.661651232771156e-06
1.0,0.02495415769752053,9.76941501494766e-06
1.0,0.025048516495608505,9.883033967647844e-06
1.0,0.02514157195068075,1.0006787025337403e-05
1.0,0.02522820238982812,1.0110957079579798e-05
1.0,0.02532311239659392,1.0232457517690232e-05
1.0,0.025422868398075008,1.0350718718173391e-05
1.0,0.025517691178868415,1.0477351950309875e-05
1.0,0.025618989154900757,1.0588973309548266e-05
1.0,0.025704724166957522,1.0729463955348912e-05
1.0,0.025815497546290568,1.0856555824066012e-05
1.0,0.025923471923140633,1.098414177522642e-05
1.0,0.026016665627662448,1.1117370171669834e-05
1.0,0.02610508757297748,1.1240747858034336e-05
1.0,0.026193564584292228,1.1377814699170556e-05
1.0,0.026285402364006633,1.1521437672386296e-05
1.0,0.026380109565950275,1.169174425669592e-05
1.0,0.026499036975892648,1.1834650072668615e-05
1.0,0.026594727786392505,1.1966015479856145e-05
1.0,0.026689405244084415,1.2125427098373784e-05
1.0,0.026795077581594436,1.2304108371361656e-05
1.0,0.026906215077795927,1.2468288812238348e-05
1.0,0.027011866235167208,1.2622066012550918e-05
1.0,0.027107781578833413,1.279783194785896e-05
1.0,0.027216207990956916,1.2952925751284235e-05
1.0,0.02731835042548549,1.3122214206470093e-05
1.0,0.027424866380443353,1.331941309656665e-05
1.0,0.027524347615802316,1.349327521159928e-05
1.0,0.027641019980130258,1.3659057465285132e-05
1.0,0.027764841549686205,1.3814191915005172e-05
1.0,0.027865568662363678,1.3978049569190313e-05
1.0,0.027975778160123345,1.418150956166342e-05
1.0,0.02808623281064226,1.43601515712795e-05
1.0,0.028189944385652848,1.456465710975489e-05
1.0,0.02829954114961235,1.4768624402086085e-05
1.0,0.028417086567706206,1.4972940985196572e-05
1.0,0.028523910418517758,1.5180760165573033e-05
1.0,0.02862957627312433,1.540122716725409e-05
1.0,0.028736687477047374,1.558830097936699e-05
1.0,0.028853909796962503,1.575640771800421e-05
1.0,0.029006324861571252,1.5979301293745504e-05
1.0,0.02914338919925512,1.6195172151832093e-05
1.0,0.029256437818385755,1.640450336852003e-05
1.0,0.029387601812078962,1.661534629284508e-05
1.0,0.029522731560083004,1.6806884216482417e-05
1.0,0.029640853239896778,1.7035514018737285e-05
1.0,0.029764168885507796,1.7258783326877348e-05
1.0,0.02990564911023528,1.7471226022638325e-05
1.0,0.030045596352291818,1.7735070257851158e-05
1.0,0.030165040356583545,1.7986230588150337e-05
1.0,0.030290566859410156,1.8253589079274434e-05
1.0,0.03040753873803857,1.8564195682867148e-05
1.0,0.030536585365853658,1.8805830530785957e-05
1.0,0.03067199098459051,1.9062057406030604e-05
1.0,0.0308010234205865,1.9334425692753523e-05
1.0,0.03092885375494071,1.964851428070797e-05
1.0,0.031058520006945995,1.9940402721152903e-05
1.0,0.031200937024945797,2.024917755544051e-05
1.0,0.03133760512615138,2.0556449557717703e-05
1.0,0.031464401497826144,2.0884501556840428e-05
1.0,0.031599404356275715,2.118308538196057e-05
1.0,0.03173154906731549,2.1567645283020365e-05
1.0,0.03187048162101619,2.189104231340627e-05
1.0,0.032013091615740626,2.2260822143204403e-05
1.0,0.032144599347865156,2.2599806497008582e-05
1.0,0.0322805208199046,2.2931264334022093e-05
1.0,0.03241004400724825,2.3257130597134572e-05
1.0,0.03256939205535756,2.358097662670035e-05
1.0,0.032722615718355504,2.39094580417116e-05
1.0,0.03288419614950227,2.4272844899021247e-05
1.0,0.03304127520320912,2.4631768935005724e-05
1.0,0.03318314338722502,2.503991653292309e-05
1.0,0.03333244588802215,2.540643178687028e-05
1.0,0.0334875758953647,2.580712325919324e-05
1.0,0.033636021707592285,2.6230982145833884e-05
1.0,0.03379308483359875,2.6711664870583267e-05
1.0,0.03394333740002711,2.7118546111584235e-05
1.0,0.03410236156129981,2.750123929397012e-05
1.0,0.0342610075801111,2.7913448390295724e-05
